learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.698328391,9.251137638238984E-9,10000.0,79.75999999999999,69.54525635844715,69.20267802799756,68.83756735950732,10000.0,51208.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
20000.0,0.987117133,1.3076879846414345E-8,20000.0,79.68499999999999,69.48235964152852,69.27091211617001,69.09561116604547,20000.0,51208.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,1.19935055,1.5888451848075623E-8,30000.0,79.12666666666667,68.68423706453287,68.59106184481115,68.49625194948935,30000.0,51208.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
40000.0,1.436883905,2.055668915648841E-8,40000.0,79.3,68.94892452659407,68.94805925370336,68.71339505006613,40000.0,75968.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
50000.0,1.676671036,2.6909375094624443E-8,50000.0,79.874,69.81580228170962,69.8025447125195,69.59083766469237,50000.0,102408.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
60000.0,1.965528441,3.624853378880148E-8,60000.0,80.31,70.46983744666598,70.47533363322836,70.27101839502757,60000.0,124976.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
70000.0,2.192213351,4.525665196151576E-8,70000.0,80.61571428571429,70.9296030108997,70.90195573854864,70.72491909385114,70000.0,153608.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0
80000.0,2.411258102,5.396116167996493E-8,80000.0,80.93875,71.41333062132719,71.41277042480597,71.22993038129918,80000.0,153608.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0
90000.0,2.619812145,6.29393858292347E-8,90000.0,81.12888888888888,71.69599958589677,71.65979742695522,71.56252092960955,90000.0,166408.0,25.0,13.0,13.0,4.0,0.0,0.0,1.0
100000.0,2.85046594,7.363278126048131E-8,100000.0,81.324,71.98881736474945,71.96721803608416,71.85823639322524,100000.0,179208.0,27.0,14.0,14.0,4.0,0.0,0.0,1.0
110000.0,3.061956703,8.34377548088899E-8,110000.0,81.54272727272728,72.31760028583183,72.30452338080427,72.1777619426097,110000.0,179208.0,27.0,14.0,14.0,4.0,0.0,0.0,1.0
120000.0,3.30208771,9.599336925558952E-8,120000.0,81.70666666666668,72.56346101079053,72.56754392542052,72.42661374398654,120000.0,202112.0,31.0,16.0,16.0,5.0,0.0,0.0,1.0
130000.0,3.506539499,1.0842083223021486E-7,130000.0,81.76230769230769,72.64671261019717,72.63093492790931,72.51735849494023,130000.0,234960.0,37.0,19.0,19.0,5.0,0.0,0.0,1.0
140000.0,3.685029403,1.2056830437325562E-7,140000.0,81.83142857142856,72.74963643294335,72.71957013695985,72.63563306186997,140000.0,263072.0,41.0,21.0,21.0,6.0,0.0,0.0,1.0
150000.0,3.857668172,1.3285172112678902E-7,150000.0,81.96933333333334,72.9558409193469,72.9339711386426,72.86036827053334,150000.0,275032.0,43.0,22.0,22.0,6.0,0.0,0.0,1.0
160000.0,4.033484072,1.4598159150427002E-7,160000.0,82.07375,73.11236361548593,73.09178925247673,73.02015821802482,160000.0,288672.0,45.0,23.0,23.0,6.0,0.0,0.0,1.0
170000.0,4.212528614,1.6159923014784026E-7,170000.0,82.14235294117647,73.21497770109085,73.20683111954457,73.12928180707748,170000.0,337176.0,53.0,27.0,27.0,6.0,0.0,0.0,1.0
180000.0,4.392690497,1.7947246904749217E-7,180000.0,82.26722222222223,73.40210808902128,73.39484717394747,73.32414023651333,180000.0,383480.0,61.0,31.0,31.0,6.0,0.0,0.0,1.0
190000.0,4.559525826,1.9661164404550983E-7,190000.0,82.34052631578948,73.51232888943667,73.51106830454417,73.4311528502538,190000.0,397104.0,63.0,32.0,32.0,7.0,0.0,0.0,1.0
200000.0,4.721864113,2.1384756152221314E-7,200000.0,82.4165,73.62653457669163,73.63714054394435,73.54153813744226,200000.0,410408.0,65.0,33.0,33.0,7.0,0.0,0.0,1.0
210000.0,4.89221772,2.3240234180097366E-7,210000.0,82.46666666666667,73.7017816890841,73.70450779866309,73.61897255857275,210000.0,421024.0,67.0,34.0,34.0,7.0,0.0,0.0,1.0
220000.0,5.054282849,2.501811329317507E-7,220000.0,82.52363636363637,73.78710778335964,73.7885522620054,73.70987042292046,220000.0,424048.0,67.0,34.0,34.0,7.0,0.0,0.0,1.0
230000.0,5.232687559,2.714855544042174E-7,230000.0,82.59521739130435,73.89391166496527,73.90332149027022,73.83132971177919,230000.0,461600.0,73.0,37.0,37.0,7.0,0.0,0.0,1.0
240000.0,5.406412027,2.9326008570701714E-7,240000.0,82.63958333333333,73.96059962757464,73.96035148681925,73.89656360617737,240000.0,484496.0,77.0,39.0,39.0,7.0,0.0,0.0,1.0
250000.0,5.575768492,3.151436224421011E-7,250000.0,82.6548,73.98326690334872,73.98771460450384,73.92467783931352,250000.0,499480.0,79.0,40.0,40.0,7.0,0.0,0.0,1.0
260000.0,5.763433382,3.422460276248907E-7,260000.0,82.69999999999999,74.05136681757492,74.0563861203396,73.98601560376387,260000.0,558248.0,89.0,45.0,45.0,8.0,0.0,0.0,1.0
270000.0,5.92799302,3.660473520198734E-7,270000.0,82.74925925925926,74.12516710829576,74.13337331867204,74.06510312263353,270000.0,559088.0,89.0,45.0,45.0,8.0,0.0,0.0,1.0
280000.0,6.113651549,3.940242472988533E-7,280000.0,82.80178571428571,74.20401887648225,74.21584690675833,74.14274514857652,280000.0,582488.0,93.0,47.0,47.0,8.0,0.0,0.0,1.0
290000.0,6.288559563,4.2041915581981344E-7,290000.0,82.85034482758621,74.27682715969944,74.28837305485187,74.21625909201664,290000.0,583328.0,93.0,47.0,47.0,8.0,0.0,0.0,1.0
300000.0,6.468373442,4.4808730549783345E-7,300000.0,82.89566666666667,74.34474047284655,74.3741229231069,74.28667354854228,300000.0,594784.0,95.0,48.0,48.0,8.0,0.0,0.0,1.0
310000.0,6.646663494,4.767397566600641E-7,310000.0,82.93774193548387,74.40784353988485,74.44091155095097,74.35180021820825,310000.0,621208.0,99.0,50.0,50.0,9.0,0.0,0.0,1.0
320000.0,6.815817805,5.039240307148402E-7,320000.0,82.9790625,74.46989591221104,74.49987125166788,74.41302203222625,320000.0,621208.0,99.0,50.0,50.0,9.0,0.0,0.0,1.0
330000.0,6.989236701,5.323908773767721E-7,330000.0,83.01878787878788,74.52917332449003,74.56840996968431,74.4805067649108,330000.0,634520.0,101.0,51.0,51.0,9.0,0.0,0.0,1.0
340000.0,7.171998962,5.640489178583234E-7,340000.0,83.04529411764706,74.56902396033306,74.60338439442602,74.51885249524821,340000.0,669576.0,107.0,54.0,54.0,9.0,0.0,0.0,1.0
350000.0,7.361402255,5.982598572254699E-7,350000.0,83.0777142857143,74.61777842417398,74.65802366129688,74.56497466288758,350000.0,698200.0,111.0,56.0,56.0,9.0,0.0,0.0,1.0
360000.0,7.537539784,6.301512225014261E-7,360000.0,83.10166666666666,74.65343910064239,74.69720161048812,74.60870000751295,360000.0,699880.0,111.0,56.0,56.0,9.0,0.0,0.0,1.0
370000.0,7.73799684,6.68986099188688E-7,370000.0,83.1308108108108,74.6966896328358,74.7383417382365,74.65967821169171,370000.0,748864.0,119.0,60.0,60.0,9.0,0.0,0.0,1.0
380000.0,7.913681901,7.030982121017576E-7,380000.0,83.17078947368421,74.75674787862323,74.79733750546805,74.71422979443524,380000.0,750544.0,119.0,60.0,60.0,9.0,0.0,0.0,1.0
